CB Month,Decom-Cost,DA-UHC-Cost
2023-01,"$93,677.19","$14,045.36"
2023-02,"$107,438.39","$13,359.64"
2023-03,"$89,886.18","$13,679.54"
2023-04,"$73,632.50","$13,202.69"
2023-05,"$73,791.22","$12,983.84"
2023-06,"$49,439.28","$12,784.44"
2023-07,"$47,960.91","$12,939.10"
2023-08,"$44,319.42","$12,950.79"
2023-09,"$41,760.47","$12,746.13"
2023-10,"$38,913.68","$13,091.63"
2023-11,"$37,489.41","$12,948.51"
2023-12,"$37,682.63","$13,292.89"
2024-01,"$27,152.28","$17,426.48"
2024-02,"$20,668.86","$17,441.67"
2024-03,"$19,014.36","$17,290.24"
2024-04,"$19,747.82","$17,294.07"
2024-05,"$18,983.25","$17,424.21"
2024-06,"$19,515.63","$17,956.04"
2024-07,"$19,022.00","$17,952.13"
2024-08,"$20,669.11","$18,110.01"
2024-09,"$20,983.13","$18,186.28"
2024-10,"$20,450.30","$18,280.53"
2024-11,"$15,896.29","$18,251.44"
2024-12,"$15,804.12","$18,213.68"
