Bill Name,2023-11,2023-12,2024-01,2024-02,2024-03,2024-04,2024-05,2024-06,2024-07,2024-08,2024-09,2024-10,2024-11,2024-12
BDPaaS Compute,4230.0,4516.7,5088.34,5088.34,5088.34,5088.34,5088.34,5088.34,5088.34,5088.34,4924.2,5088.34,5088.34,5088.34
BDPaaS Storage,1651.99,1707.06,2078.16,2078.16,2078.16,2078.16,2078.16,2078.16,2078.16,2220.94,2175.87,2248.4,2535.06,2535.06
Compute - UBUNTU,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
DBaaS MS SQL - SQL 2019,36.05,36.05,39.86,39.86,39.86,39.86,39.86,39.86,39.86,39.86,39.86,39.86,39.86,39.86
ECE Elastic,5612.55,5612.55,9179.15,9179.15,9179.15,9179.15,9179.15,10043.07,10043.07,10043.07,10043.07,10043.07,10043.07,10043.07
EOL - RedHat LINUX 6 - ODI,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
EOL - RedHat LINUX 7 - ODI,0.0,0.0,2523.65,1428.77,1245.44,1331.46,1278.46,1333.25,1247.23,1333.25,952.32,884.48,0.0,0.0
Github Enterprise Cloud,0.04,0.0,0.0,0.0,0.0,0.0,14.94,7.4,7.55,21.27,17.62,15.61,31.99,69.38
HCC Kubernetes_UoM 2023,651.44,624.17,887.89,1478.11,2054.27,1896.02,1771.51,1712.31,1638.57,1981.2,3077.28,2870.58,1676.31,1370.94
MySQL 8 ODI_CPU,501.31,18.72,28.27,28.04,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
MySQL 8.0_CPU,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
NAS Nearstore,1465.3,1484.73,1088.44,1104.86,1066.46,1014.75,978.77,989.64,1061.22,1001.69,953.4,1033.39,1052.24,1031.1
ODI CPU,2965.91,2116.8,3333.12,1794.24,1467.84,1569.22,1506.56,1571.33,1429.38,1476.1,1095.17,1019.01,137.98,138.24
OpenShift Enterprise,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
datum  Functions Platform,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
OSFI - Kubernetes,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
OSFI - Origins,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Public Cloud - GCP Usage,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.78
RedHat LINUX 6 - ODI,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
RedHat LINUX 7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
RedHat LINUX 7 - ODI,18382.54,18301.14,7800.75,2578.2,1631.6,1739.12,1672.87,1741.36,1633.84,1741.36,1243.84,1159.04,0.0,0.0
RedHat LINUX 8 - ODI,1171.82,400.51,428.78,454.24,436.36,456.52,445.22,456.94,478.67,423.81,356.27,406.37,347.47,348.11
Search Analytics ,6.7,16.75,19.26,19.26,12.84,32.1,19.26,19.26,12.84,12.84,12.84,12.84,12.84,12.84
Shared Storage,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
SQL 2016 UCI_CPU,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Standard Performance NAS,0.0,0.0,5846.44,5853.84,6170.56,6170.56,6295.62,5896.02,5896.02,5859.02,6155.02,6021.08,5283.3,5320.3
Standard Performance Storage,7648.6,7663.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Storage - Object,9002.05,8470.15,6232.28,6984.8,5833.05,6446.64,6038.73,6494.72,6319.38,7535.3,8122.64,7888.75,7898.7,8014.76
TSM,6.58,6.58,4.37,0.65,0.65,0.0,0.0,0.0,0.0,1.07,0.0,0.0,0.54,0.0
